6525,捷敏-KY,1,053,500,751,66,028,549,63.30,63.40,62.10,62.10,<p style= color:green>-</p>,0.80,62.10,19,62.50,5,12.13,
6531,愛普,1,263,499,961,93,108,126,76.40,76.90,72.30,72.50,<p style= color:green>-</p>,4.00,72.50,160,72.60,3,16.98,
6533,晶心科,195,290,186,29,835,723,153.50,153.50,151.50,152.00,<p style= color:red>+</p>,0.50,152.00,5,152.50,4,,
6552,易華電,106,000,72,3,024,400,28.95,28.95,28.25,28.40,<p style= color:green>-</p>,0.15,28.40,7,28.60,3,35.95,
8016,矽創,894,401,736,76,644,886,86.40,86.40,85.40,85.50,<p style= color:green>-</p>,0.60,85.40,57,85.50,93,10.61,
8081,致新,232,000,175,16,444,200,71.10,71.20,70.60,70.80,<p style= color:green>-</p>,0.20,70.80,1,71.00,14,15.16,
8110,華東,3,040,340,694,40,264,870,13.00,13.35,12.95,13.35,<p style= color:red>+</p>,0.30,13.30,74,13.35,37,10.94,
8131,福懋科,785,100,268,21,861,330,27.75,28.00,27.65,27.90,<p style= color:red>+</p>,0.15,27.90,32,28.00,70,12.29,
8150,南茂,31,300,675,13,208,946,725,115,29.40,30.85,29.40,30.10,<p style= color:red>+</p>,1.10,30.10,43,30.15,120,7.24,
8261,富鼎,150,134,99,3,595,238,23.80,24.10,23.80,23.90,<p style= color:red>+</p>,0.15,23.90,17,23.95,3,45.09,
8271,宇瞻,2,956,744,1,614,125,842,748,42.45,43.00,42.25,42.30,<p style= color:red>+</p>,0.15,42.30,19,42.35,26,11.69,
